Country,Median
"Derrick Operators, Oil and Gas",58210
Marriage and Family Therapists,58510
Hearing Aid Specialists,58670
"Brickmasons, Blockmasons, and Stonemasons",58810
Clergy,58920
Aircraft Cargo Handling Supervisors,58920
"Drafters, All Other",59260
Precision Instrument and Equipment Repairers,59380
Set and Exhibit Designers,59490
Licensed Practical and Licensed Vocational Nurses,59730
Archivists,59910
"Bus Drivers, Transit and Intercity",60170
Miscellaneous Media and Communication Workers,60440
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",60510
Medical Equipment Repairers,60670
Clinical Laboratory Technologists and Technicians,60780
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",60890
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",61190
Advertising Sales Agents,61270
Commercial Divers,61300
Industrial Machinery Mechanics,61420
Electricians,61590
"Educational, Guidance, and Career Counselors and Advisors",61710
Wind Turbine Service Technicians,61770
Architectural and Civil Drafters,61820
"Mobile Heavy Equipment Mechanics, Except Engines",61900
Lighting Technicians,62240
Fabric and Apparel Patternmakers,62510
Music Directors and Composers,62590
Structural Iron and Steel Workers,62760
Health Education Specialists,62860
Health Information Technologists and Medical Registrars,62990
"Drafters, Engineering Technicians, and Mapping Technicians",63100
Tapers,63350
First-Line Supervisors of Office and Administrative Support Workers,63450
"Healthcare Practitioners and Technical Workers, All Other",63630
"Social Workers, All Other",63770
"Career/Technical Education Teachers, Middle School",63860
"Middle School Teachers, Except Special and Career/Technical Education",64290
Miscellaneous Teachers and Instructors,64390
"Miscellaneous Sales Representatives, Services",64600
Crane and Tower Operators,64690
Water Transportation Workers,64930
"Career/Technical Education Teachers, Secondary School",65130
"Special Education Teachers, Preschool",65270
Occupational Therapy Assistants and Aides,65450
Supervisors of Production Workers,65930
Cardiovascular Technologists and Technicians,66170
Film and Video Editors,66600
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",66680
Foresters,67330
Human Resources Specialists,67650
Soil and Plant Scientists,68240
Surveyors,68540
Dietitians and Nutritionists,69680
Animal Scientists,70140
First-Line Supervisors of Correctional Officers,70530
"Mathematical Science Occupations, All Other",70620
Boilermakers,71140
Fire Inspectors,71420
Miscellaneous Postsecondary Teachers,71800
Transit and Railroad Police,72250
Electrical and Electronic Engineering Technologists and Technicians,72800
"Education Teachers, Postsecondary",73240
"Engineering Technologists and Technicians, Except Drafters, All Other",73500
Fire Inspectors and Investigators,74160
"Compensation, Benefits, and Job Analysis Specialists",74530
Market Research Analysts and Marketing Specialists,74680
Locomotive Engineers,74770
Entertainment and Recreation Managers,75210
"Recreation and Fitness Studies Teachers, Postsecondary",75770
Commercial and Industrial Designers,76250
Supervisors of Construction and Extraction Workers,76760
"Social Sciences Teachers, Postsecondary, All Other",77750
Respiratory Therapists,77960
Acupuncturists,78220
"Financial Specialists, All Other",78310
Business Operations Specialists,78500
"Environmental Scientists and Specialists, Including Health",78980
Fashion Designers,79290
Credit Analysts,79420
"Postsecondary Teachers, All Other",79870
"Philosophy and Religion Teachers, Postsecondary",79930
"Art, Drama, and Music Teachers, Postsecondary",80360
Healthcare Practitioners and Technical Occupations,80820
Occupational Health and Safety Specialists,81140
Epidemiologists,81390
Postsecondary Teachers,82270
Gas Plant Operators,82560
Signal and Track Switch Repairers,82710
Magnetic Resonance Imaging Technologists,83740
Emergency Management Directors,83960
Financial Examiners,84300
